"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1","EQD"
"02869099999","1911-01-24T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09740,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-24T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09726,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-24T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09695,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-25T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09603,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-25T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09523,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-25T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","99999,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1","Q01 104963APOSLP"
"02869099999","1911-01-26T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09511,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-26T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09511,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-26T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09516,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-27T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09575,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-27T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","09628,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-27T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","09666,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-28T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","09700,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-28T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","09734,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-28T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","09791,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-29T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","09910,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-29T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","09975,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-29T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","+9999,9","+9999,9","10014,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"Q01 +01723ATOT  "
"02869099999","1911-01-30T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0256,1","+9999,9","10044,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-30T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0250,1","+9999,9","10046,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-30T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","99999,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-31T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09848,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-31T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09730,1",,,,
"02869099999","1911-01-31T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09794,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-01T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09850,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-01T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","09875,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-01T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09876,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-02T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0261,1","+9999,9","09804,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-02T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0183,1","+9999,9","09811,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-02T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","09854,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-02-03T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09790,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
